type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,hour_of_day,distance_from_home,is_abroad,isFraud
DEBIT,54.32,2911.2196131245278,2856.8996131245276,78478.85,78533.17000000001,12,44.29,0,0
CASH_IN,152.08,13463.12,13311.04,92313.1,92465.18000000001,15,8.86,0,0
PAYMENT,326.75,14909.05,14582.3,47200.79,47527.54,9,21.09,0,0
CASH_OUT,354.91,4329.594544163359,3974.6845441633595,49155.34,49510.25,9,5.83,0,0
TRANSFER,1078.5,65017.8,63939.3,13434.94,14513.44,6,1.57,0,0
CASH_IN,28.4,43491.74,43463.34,32100.62,32129.02,16,3.28,0,0
CASH_OUT,295.46,18821.58,18526.120000000003,9200.22,9495.679999999998,6,26.83,0,0
PAYMENT,6241.31,12307.78,6066.47,93193.22,99434.53,9,2.12,0,0
CASH_OUT,46.83,66938.44,66891.61,43953.49,44000.32,10,31.13,0,0
PAYMENT,28.58,36485.82,36457.24,41753.25,41781.83,1,1.74,0,0
PAYMENT,768.73,4377.34347767926,3608.61347767926,25053.91,25822.64,9,43.38,0,0
CASH_OUT,155.81,44064.43,43908.62,9074.09,9229.9,12,0.66,0,0
PAYMENT,72.34,57571.84,57499.5,62488.45,62560.78999999999,10,11.32,0,0
PAYMENT,211.1,35996.15,35785.05,89588.99,89800.09000000001,15,65.68,0,0
CASH_IN,6.99,68594.63,68587.64,893.85,900.84,15,34.03,0,0
TRANSFER,192.86,77775.21,77582.35,72022.12,72214.98,11,18.26,0,0
PAYMENT,355.99,96548.88,96192.89,94336.12,94692.11,0,7.06,0,0
CASH_OUT,104.02,28861.62,28757.6,90901.75,91005.77,10,4.74,0,0
PAYMENT,114.68,58695.96,58581.28,74205.61,74320.29,14,2.46,0,0
CASH_OUT,105.06,4979.27,4874.21,86714.11,86819.17,20,30.45,0,0
CASH_OUT,225.93,33744.87,33518.94,83537.01,83762.93999999999,9,3.21,0,0
TRANSFER,743.35,33093.36,32350.010000000002,6647.1,7390.450000000001,9,2.46,0,0
DEBIT,65.76,25105.02,25039.260000000002,31740.24,31806.0,14,8.77,0,0
PAYMENT,232.6,77115.44,76882.84,33883.13,34115.729999999996,15,19.82,0,0
CASH_OUT,61.69,32376.41,32314.72,27164.12,27225.809999999998,15,66.07,0,0
PAYMENT,82.18,49131.46,49049.28,6772.63,6854.81,16,22.04,0,0
CASH_IN,173.77,60856.09,60682.32,52805.64,52979.409999999996,11,2.41,0,0
CASH_OUT,25.45,65834.41,65808.96,10453.64,10479.09,8,14.95,0,0
CASH_IN,93.82,88883.61,88789.79,56037.83,56131.65,20,17.46,0,0
PAYMENT,408.47,18841.15,18432.68,82328.54,82737.01,12,36.09,0,0
PAYMENT,421.66,13843.67,13422.01,52261.53,52683.19,4,21.7,0,0
CASH_OUT,29.27,69710.84,69681.56999999999,46741.71,46770.979999999996,13,20.94,0,0
CASH_OUT,45.69,69653.48,69607.79,38421.65,38467.340000000004,13,24.56,0,0
PAYMENT,9.79,12644.77,12634.98,64126.41,64136.200000000004,15,29.7,0,0
CASH_OUT,331.57,84290.22,83958.65,62661.53,62993.1,14,24.62,0,0
CASH_OUT,62.42,13299.2,13236.78,82507.06,82569.48,9,6.81,0,0
PAYMENT,555.83,64039.36,63483.53,59624.49,60180.32,17,16.25,0,0
PAYMENT,1355.23,35470.1,34114.869999999995,6344.7,7699.93,14,23.45,0,0
PAYMENT,253.26,14441.71,14188.449999999999,76830.19,77083.45,8,2.16,0,0
CASH_OUT,176.89,60235.67,60058.78,62566.64,62743.53,10,4.61,0,0
CASH_IN,3096.83,56831.93,53735.1,40736.85,43833.68,11,3.02,0,0
TRANSFER,75.5,35116.91,35041.41,12825.05,12900.55,14,38.25,0,0
PAYMENT,34.59,72670.75,72636.16,80166.84,80201.43,10,10.33,0,0
TRANSFER,139.03,82622.55,82483.52,6294.24,6433.2699999999995,18,4.86,0,0
CASH_IN,432.21,3111.33,2679.12,25504.31,25936.52,11,20.58,0,0
PAYMENT,116.11,36213.82,36097.71,99670.41,99786.52,10,17.26,0,0
PAYMENT,203.59,94147.45,93943.86,66983.3,67186.89,13,3.25,0,0
CASH_OUT,50.03,87652.24,87602.21,39426.35,39476.38,8,13.9,1,0
PAYMENT,127.44,99370.15,99242.70999999999,59279.77,59407.21,17,21.71,0,0
TRANSFER,228.64,79927.05,79698.41,99040.16,99268.8,9,23.79,0,0
PAYMENT,33.37,93972.73,93939.36,57936.11,57969.48,5,33.88,0,0
CASH_OUT,57.99,36972.77,36914.78,1771.27,1829.26,3,32.19,0,0
PAYMENT,295.72,27000.35,26704.629999999997,59004.82,59300.54,11,2.39,0,0
CASH_OUT,178.83,3334.090539828639,3155.260539828639,46111.22,46290.05,16,23.72,0,0
TRANSFER,3044.91,94131.3,91086.39,37411.51,40456.42,14,20.94,0,0
CASH_IN,724.1,5038.39,4314.29,85161.77,85885.87000000001,7,11.29,0,0
TRANSFER,132.57,38938.24,38805.67,19030.34,19162.91,14,4.86,0,0
DEBIT,74.48,92343.24,92268.76000000001,3842.89,3917.37,20,1.98,0,0
TRANSFER,54406.81,54406.81,0.0,0.0,54406.81,8,403.7,1,1
PAYMENT,169.6,94942.45,94772.84999999999,42019.98,42189.58,12,6.18,0,0
PAYMENT,28.5,12228.06,12199.56,22232.89,22261.39,12,1.87,0,0
PAYMENT,129.28,48365.29,48236.01,78486.65,78615.93,9,8.13,0,0
PAYMENT,1968.93,48352.48,46383.55,34471.12,36440.05,15,1.83,0,0
CASH_IN,464.51,61558.72,61094.21,81373.61,81838.12,12,44.89,0,0
TRANSFER,437.09,15883.34,15446.25,801.29,1238.3799999999999,14,4.95,0,0
DEBIT,828.82,31582.64,30753.82,53195.59,54024.409999999996,16,9.77,0,0
TRANSFER,163.74,61999.37,61835.630000000005,43546.07,43709.81,15,38.76,0,0
TRANSFER,13.3,98613.63,98600.33,4422.58,4435.88,10,0.5,0,0
CASH_OUT,27.61,58348.41,58320.8,19075.26,19102.87,18,3.27,0,0
PAYMENT,94.75,67808.09,67713.34,71402.14,71496.89,16,17.61,0,0
CASH_OUT,17.69,38982.04,38964.35,70399.59,70417.28,12,10.86,0,0
PAYMENT,867.25,7210.78,6343.53,13227.48,14094.73,8,30.19,0,0
TRANSFER,148.16,88302.31,88154.15,64335.43,64483.590000000004,10,4.32,0,0
CASH_OUT,226.45,94614.8,94388.35,99011.73,99238.18,17,0.69,0,0
CASH_OUT,375.9,90897.5,90521.6,19543.47,19919.370000000003,10,7.37,0,0
PAYMENT,141.19,76347.03,76205.84,46906.58,47047.770000000004,13,10.45,0,0
PAYMENT,199.45,26706.25,26506.8,93449.98,93649.43,10,2.68,0,0
